pitch_type,pitch_name,game_type,p_throws,pitches,avg_velo,velo_range,VB,HB,VRA,Extension,VAA,HAA,Release_Height,Release_Side,chase_pct,whiff_pct,in_zone_whiff_pct,groundball_pct,flyball_pct,line_drive_pct,popup_pct
FF,4-Seam Fastball,Regular Season,R,244633,94.7,81.7-105.5,15.8,-7.5,-1.9,6.5,-4.7,1.3,5.8,-1.8,21.9,19,15.9,32.8,33.5,24.9,8.9
FF,4-Seam Fastball,Regular Season,L,94127,93.2,80.6-104,15.6,8.2,-1.8,6.5,-4.8,-1.3,5.8,1.9,21.7,18.4,15.1,34,32.4,24.3,9.3
SI,Sinker,Regular Season,R,121532,93.6,79.9-103,7.3,-14.8,-1.3,6.5,-5.9,0.4,5.6,-1.9,24.1,11.7,8.4,54.7,17.6,23.3,4.4
SI,Sinker,Regular Season,L,48510,92.7,81.8-105.1,8.1,15.2,-1.4,6.4,-5.9,-0.6,5.7,2.1,22.6,12.4,9.2,56,17.9,22.7,3.4
FC,Cutter,Regular Season,R,68905,89.9,75.2-103,8.3,2.7,-1.4,6.4,-6.2,2.5,5.8,-1.8,26.3,20.8,14.5,39.8,28,24.2,8.1
FC,Cutter,Regular Season,L,18042,88,77.6-96.8,7.2,-2,-1.3,6.3,-6.6,-2.6,5.9,1.9,28.8,22.9,16.2,41.2,26.4,24.3,8.1
SL,Slider,Regular Season,R,129947,86,48.3-95.9,1.6,5.1,-1,6.4,-7.6,3.1,5.7,-1.9,36.2,32,17.4,42.2,26.6,23.2,7.9
SL,Slider,Regular Season,L,39614,84.5,58.6-94.5,1.6,-5,-0.9,6.4,-7.9,-3.2,5.8,2.1,36.1,32.6,18,41.6,27.4,23.5,7.5
ST,Sweeper,Regular Season,R,49871,82.3,70-92.1,1.6,14.3,-0.2,6.4,-7.6,4.2,5.5,-2.1,37.8,29.2,15.8,34.7,32.5,21.9,10.9
ST,Sweeper,Regular Season,L,14519,80.3,67.7-89.5,1,-14.1,0.1,6.3,-7.8,-4.2,5.4,2.3,37,30.5,18.4,34.9,30.6,23.9,10.6
CU,Curveball,Regular Season,R,49571,79.8,36.1-92.8,-9.9,9.8,0.3,6.4,-9.7,3,5.9,-1.7,38.6,29.1,14.9,43.6,26.6,23.9,5.8
CU,Curveball,Regular Season,L,20148,78.5,62.9-87.6,-8.1,-8.2,0.3,6.4,-9.7,-2.9,5.9,1.9,39.2,29.7,14.9,45.2,25.8,23.3,5.7
KC,Knuckle Curve,Regular Season,R,12974,82.3,70.6-94.2,-10,7.8,0.1,6.5,-9.5,2.9,5.8,-1.8,43.1,33.3,15.2,48.6,22.6,24.8,4.1
KC,Knuckle Curve,Regular Season,L,4562,80.8,71.9-89.2,-7.3,-3.3,-0.5,6.2,-9.8,-2.5,6.3,1.8,42.6,32.4,14.7,44.8,25.4,24.7,5.1
SV,Slurve,Regular Season,R,2739,82.2,72.7-88.4,-4.5,15.3,0.1,6.1,-8.5,4.1,5.5,-1.8,44.7,28.3,11.1,40.6,27.8,24,7.6
SV,Slurve,Regular Season,L,1312,80.3,75-85.8,-5.3,-9.6,0.8,6.5,-8.2,-3.3,5.2,2.1,39,28.2,14.2,50.5,19.4,25.3,4.8
SC,Screwball,Regular Season,R,243,81.2,77.2-86.7,-2.9,-8,-0.5,6.1,-8.8,0.2,6.1,-1.1,35.6,22.2,8.6,45.9,21.6,24.3,8.1
CS,Slow Curve,Regular Season,R,31,67.3,51.4-75.4,-7.9,6.7,1.4,6,-12,3.9,6.5,-2.4,14.3,14.3,16.7,66.7,0,0,33.3
CS,Slow Curve,Regular Season,L,4,58.5,53.9-64.1,-3.1,-6.2,3.1,6.2,-12.8,-3.1,6.2,2.3,0,0,0,0,0,100,0
CH,Changeup,Regular Season,R,70181,86.1,56.6-97.2,4.9,-14.2,-1.4,6.5,-7.4,0.3,5.7,-1.9,39.7,28.3,19.7,48.9,22.6,22.9,5.5
CH,Changeup,Regular Season,L,38860,84.2,63.3-94.1,5.9,14.2,-1.3,6.4,-7.5,-0.2,5.8,2,42.8,30.7,21.8,51.3,20.9,22.6,5.2
FS,Split-Finger,Regular Season,R,28920,86.5,67.2-100.2,2.6,-10.6,-1.3,6.5,-7.7,0.7,5.7,-1.9,43.1,32.4,19.6,54.1,19.2,22.3,4.3
FS,Split-Finger,Regular Season,L,3130,84.7,77.1-95.7,6.1,8.6,-1.4,6.5,-7.4,-1.1,5.7,2.2,46.7,37.1,23.2,55.7,19.6,21.9,2.8
FO,Forkball,Regular Season,R,114,80.9,76.4-84.7,-0.5,-6.4,-0.6,6.5,-8.6,1.1,5.9,-1.6,51.6,29.7,12.9,35.7,14.3,35.7,14.3
FO,Forkball,Regular Season,L,105,83.7,80.5-87,4.9,8.6,-1,6.9,-7.4,0.6,5.9,0.7,53.8,28.8,12.5,60,0,40,0
KN,Knuckleball,Regular Season,R,1577,76.9,49.4-84,-3,-5.6,0.9,6.5,-8.7,0.5,5.5,-1.2,30.2,25,20.5,42.3,24.8,24.8,8.1
EP,Eephus,Regular Season,R,727,49.9,32.8-80.4,17.2,-4.7,6.1,4.4,-14,1.1,6.7,-1.6,40.8,2.1,2.5,37.1,29.4,26.9,6.5
EP,Eephus,Regular Season,L,129,49.6,31.9-60.8,10.7,0.3,6.3,4.5,-14.4,-2.1,6.5,2.4,55.1,0,0,24.2,42.4,27.3,6.1
FF,4-Seam Fastball,Postseason,R,4656,95.9,85.8-101.6,16.9,-7.5,-2,6.5,-4.5,1.2,5.8,-1.9,25.1,20.5,17.5,29.5,34.2,25.1,11.2
FF,4-Seam Fastball,Postseason,L,1306,94.6,87.5-100.1,16.5,8,-2,6.4,-4.7,-1.3,5.9,1.8,26,20.7,16.4,28.2,35.2,25.8,10.8
SI,Sinker,Postseason,R,1772,95,84.6-101.5,8.9,-15.9,-1.7,6.4,-5.8,0.2,5.8,-1.9,26,13.3,8.3,51.9,14.7,26.4,6.9
SI,Sinker,Postseason,L,1562,93.2,86.4-100.8,8,14.7,-1,6.6,-5.5,-1.4,5.4,2.7,22.4,17.2,14.1,51.6,21.7,24.3,2.3
FC,Cutter,Postseason,R,1361,91.9,84.4-101.8,9,2.9,-1.4,6.4,-5.8,2.5,5.8,-1.7,27.8,21,15,36.4,30.9,22.8,9.9
FC,Cutter,Postseason,L,135,88.8,83.3-95,7.2,-2.2,-1.6,6.3,-6.8,-2.5,6,1.5,37.5,30.6,20,41.2,35.3,17.6,5.9
SL,Slider,Postseason,R,1916,86.9,79.8-93.7,1.7,5.4,-1.2,6.4,-7.7,3.1,5.8,-1.9,36.4,32.2,13.9,36.8,26.8,27.2,9.3
SL,Slider,Postseason,L,865,85.9,76.1-93.9,0.2,-5.6,-1,6.3,-8,-3.3,5.8,2.1,46.5,38.4,18.6,43.8,13.8,29.2,13.1
ST,Sweeper,Postseason,R,1065,83.9,73.1-89.6,0.1,15.1,-0.4,6.2,-7.9,4.4,5.7,-2.2,43.6,37.3,17.8,33.3,33.3,25.3,8
ST,Sweeper,Postseason,L,330,79.6,73.1-84.6,0,-14.5,0.3,6.5,-8,-5.2,5.4,3.2,36.1,25.7,12,66,10.6,17,6.4
CU,Curveball,Postseason,R,552,78.5,66.9-87.8,-13.1,11,0.9,6.4,-10.2,2.9,5.8,-1.5,31.9,24.6,16.3,48.8,22,23.2,6.1
CU,Curveball,Postseason,L,295,78.5,69.8-86.1,-11.1,-8.8,0.4,6.4,-10.2,-2.7,6,1.7,41.7,30.7,5.4,46,12,42,0
KC,Knuckle Curve,Postseason,R,611,80.4,75.1-89.8,-11.5,11,0.5,6.5,-9.8,3.3,5.6,-1.9,44.7,32.6,13,50,20,21,9
KC,Knuckle Curve,Postseason,L,22,80.4,77.9-83.2,-13.5,-9.9,0.3,6,-10.4,-2.1,6.4,1.2,42.9,42.9,0,NA,NA,NA,NA
SV,Slurve,Postseason,R,22,80.5,74.2-83.1,-5.4,17.4,0.9,5.7,-8.3,3.8,5.4,-1.6,15.4,15.4,0,40,60,0,0
SV,Slurve,Postseason,L,18,78,76.2-83.7,-1.8,-11.3,0.2,6.4,-8.8,-4.8,5.7,2.3,20,20,0,0,0,100,0
SC,Screwball,Postseason,R,41,80.2,77.9-82.4,-2.4,-8.2,-0.1,6,-8.6,0.1,6.1,-1.1,40,35,16.7,25,25,50,0
CH,Changeup,Postseason,R,1144,86.8,73.8-94.5,5.4,-14.7,-1.4,6.5,-7.3,0.5,5.7,-2.1,43.7,34.4,25.3,49.5,29.1,14.8,6.6
CH,Changeup,Postseason,L,637,85,76-93,4.4,14.8,-1.4,6.5,-7.8,-0.6,5.8,2.3,49.1,38.8,26.2,45.5,18.2,30.9,5.5
FS,Split-Finger,Postseason,R,443,88.4,82.6-93.8,2.9,-11.3,-1.6,6.5,-7.7,0.3,5.7,-1.7,52.7,38.4,22.9,60.7,17.9,16.1,5.4
FS,Split-Finger,Postseason,L,27,85.3,80.8-89.3,1.4,9.9,-0.9,6.1,-7.8,-1.2,5.7,2.4,25,12.5,0,33.3,66.7,0,0
FO,Forkball,Postseason,R,22,83.2,81.1-84.3,2.3,-10.2,-2.6,6.5,-9.6,1.5,5.9,-2.2,100,100,NA,NA,NA,NA,NA
